brands,categories,countries,energy-kcal_100g,fat_100g,nutrition_data,nutrition_data_prepared_per,nutrition_grades,product_name,proteins_100g,fiber_100g,nutrition_data_per,salt_100g,saturated-fat_100g,sugars_100g,nutriments_estimated,serving_quantity,nutrition_data_prepared,no_nutrition_data
Tipiak,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Plats préparés,Semoules de céréales,Semoules de blé,Semoules de blé dur,en:couscous,Semoules de blé dur pour couscous,Grainé couscous parfumé aux épices du monde",France,,,,100g,a,Tipiak Graine Parfumé,,,,,,,,,on,
"Caprice Des Dieux, Savencia","Dairies, Fermented foods, Fermented milk products, Cheeses, Soft cheeses, Cow cheeses, Pasteurised products, Pasteurized cheeses, Soft cheese with a natural rind, Double cream cheeses, en:soft-cheeses-with-bloomy-rind","Belgique,France,Luxembourg,États-Unis",333.0,30.0,on,100g,d,Caprice des Dieux,15.0,,100g,1.4,21.0,0.1,,,,
candia,"Produits laitiers,Laits (fluide et poudre),Laits,Laits homogénéisés,Produits pasteurisés,Laits demi-écrémés,Laits UHT,en:UHT milk fortified with vitamins,Laits demi-écrémés UHT enrichis en vitamines","France,Guadeloupe",41.0,1.0,on,100g,b,Viva lait 1/2 écrémé,3.3,,100ml,0.1,0.6,4.8,,,,
RIANS,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Fromages, Desserts lactés, Desserts lactés fermentés, Fromages à pâte fraîche, Fromages à la crème, Faisselles",France,76.0,4.5,on,100g,b,faisselle,4.3,0.0,100g,0.1,2.9,4.5,"{'beta-carotene_100g': 7e-06, 'calcium_100g': 0.123, 'cholesterol_100g': 0.0025, 'copper_100g': 1.2e-05, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 2.43e-05, 'iron_100g': 3e-05, 'lactose_100g': 4.93, 'magnesium_100g': 0.0116, 'maltose_100g': 0, 'manganese_100g': 5.5e-06, 'pantothenic-acid_100g': 0.00036, 'phosphorus_100g': 0.099, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'potassium_100g': 0.157, 'selenium_100g': 1.66e-06, 'starch_100g': 0, 'sucrose_100g': 0, 'vitamin-a_100g': 1.78e-06, 'vitamin-b12_100g': 4.9e-07, 'vitamin-b1_100g': 4.3e-05, 'vitamin-b2_100g': 0.00018, 'vitamin-b6_100g': 4.4e-05, 'vitamin-b9_100g': 4.9e-06, 'vitamin-c_100g': 0.0013, 'vitamin-d_100g': 7.5e-08, 'vitamin-e_100g': 9e-06, 'vitamin-pp_100g': 9.2e-05, 'water_100g': 90.8, 'zinc_100g': 0.00042}",,,
Brets,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Snacks salés,Amuse-gueules,Chips et frites,Chips,Chips de pommes de terre,Chips de pommes de terre aromatisées,Chips au sel et vinaigre,Chips de pommes de terre à l'huile de tournesol,Chips au sel et vinaigre de malt","Croatie,France",527.0,32.0,on,100g,c,Saveir Sel & Vinaigre,6.4,4.8,,1.0,2.7,1.0,"{'alcohol_100g': 0.000201785714285705, 'beta-carotene_100g': 2.20728571428571e-06, 'calcium_100g': 0.004729685, 'cholesterol_100g': 0, 'copper_100g': 5.98937633928571e-05, 'fructose_100g': 0.192236160714286, 'galactose_100g': 0, 'glucose_100g': 0.236266160714286, 'iodine_100g': 1.43248044642857e-05, 'iron_100g': 0.000256399767857143, 'lactose_100g': 0.00353616071428571, 'magnesium_100g': 0.0134688401785714, 'maltose_100g': 0.036301875, 'manganese_100g': 0.000125558478571428, 'pantothenic-acid_100g': 0.000375261428571429, 'phosphorus_100g': 0.0311730410714286, 'phylloquinone_100g': 1.45884285714286e-06, 'polyols_100g': 0, 'potassium_100g': 0.238327771428571, 'selenium_100g': 6.61635089285714e-06, 'starch_100g': 12.0052285714286, 'sucrose_100g': 0.541844732142854, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 5.87538571428571e-05, 'vitamin-b2_100g': 1.28309642857143e-05, 'vitamin-b6_100g': 0.000217695294642857, 'vitamin-b9_100g': 2.04577285714286e-05, 'vitamin-c_100g': 0.00184589875, 'vitamin-d_100g': 4.48314285714286e-08, 'vitamin-e_100g': 0.0177968271428571, 'vitamin-pp_100g': 0.00108991285714286, 'water_100g': 49.7821291071428, 'zinc_100g': 0.000168864419642857}",,,
Tropicana,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Non-alcoholic beverages, Orange juices, Squeezed juices, Orange juices without pulp, Squeezed orange juices","Belgien,Frankreich,Luxemburg,Réunion,Schweiz",40.0,0.0,on,100g,c,Orangensaft,0.8,0.6,100ml,0.0,0.0,8.9,"{'alcohol_100g': 0.0, 'beta-carotene_100g': 2.62e-05, 'calcium_100g': 0.00041, 'cholesterol_100g': 0.0, 'copper_100g': 2.2e-05, 'fructose_100g': 2.56, 'galactose_100g': 0.0, 'glucose_100g': 2.47, 'iodine_100g': 7e-07, 'iron_100g': 6.8e-05, 'lactose_100g': 0.0, 'magnesium_100g': 0.01, 'maltose_100g': 0.049, 'manganese_100g': 2.1e-05, 'pantothenic-acid_100g': 0.00024, 'phosphorus_100g': 0.0165, 'phylloquinone_100g': 1e-07, 'polyols_100g': 0.0, 'potassium_100g': 0.165, 'selenium_100g': 3.05e-06, 'starch_100g': 0.0, 'sucrose_100g': 3.46, 'vitamin-a_100g': 0.0, 'vitamin-b12_100g': 0.0, 'vitamin-b1_100g': 8e-05, 'vitamin-b2_100g': 2.1e-05, 'vitamin-b6_100g': 0.0001, 'vitamin-b9_100g': 3e-05, 'vitamin-d_100g': 0.0, 'vitamin-e_100g': 0.0002, 'vitamin-pp_100g': 0.0003, 'water_100g': 88.2, 'zinc_100g': 4.5e-05}",,,
danone,Yaourt velouté pistache,"France,Mauritanie,Maroc",95.0,3.0,on,100g,c,Yawmi velouté pistache,2.3,,100g,0.0,2.0,9.0,,,,
,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales","France, Morocco, en:united-states",0.0,0.0,on,100g,a,Sidi Harazem,0.0,,100g,,0.0,0.0,,,,
بوني,"Cacao et dérivés, Cacaos et chocolats en poudre, Cacaos en poudre, Boisson cacaotée ou au chocolat instantanée sucrée enrichie en vitamines prête à boire (reconstituée avec du lait demi-écrémé standard)","France, en:morocco",77.0,1.6,on,100g,unknown,Jibi,3.3,0.0,100ml,0.0,1.1,7.1,,,,
"Oasis,Orangina Schweppes France","Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Sweetened beverages,Aliments-et-boissons-a-base-de-vegetaux,Boissons-a-base-de-vegetaux,Boissons-avec-sucre-ajoute,fr:Aromatisé,fr:Boisson-rafraichissante-aux-fruits-et-à-l'eau-de-source","en:france, en:switzerland, en:belgium, en:La Réunion",28.0,0.0,on,100g,d,PET 2L OASIS TROPICAL,0.1,0.0,,0.03,0.0,6.6,,,,
,"Dairies, Fermented foods, Fermented milk products, Cheeses, en:breads",en:Morocco,,,,,unknown,special burger,,,,,,,,,,
,en:biscuits,en:Morocco,522.0,26.0,on,100g,e,,5.8,,100g,0.75,15.0,37.0,,,,
Elle & vire,"Dairies, Fermented foods, Fermented milk products, Creams, Fermented creams, fr:Crèmes légères, fr:cremes-fraiches, en:Refrigerated creams",France,145.0,12.0,on,100g,d,Elle & vire creme fraiche epaisse legere 12%mg poche 328g,2.8,0.0,100g,0.1,8.4,3.8,,,,
Jacquet,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains spéciaux,Pains Burger",France,275.0,4.5,on,100g,c,Pain Burger Géant,9.7,3.8,100g,0.9825,0.5,5.4,"{'alcohol_100g': 0, 'beta-carotene_100g': 3.35524375e-06, 'calcium_100g': 0.043905773125, 'cholesterol_100g': 1.3125e-05, 'copper_100g': 0.0002284955625, 'fructose_100g': 0.0666241625, 'galactose_100g': 0, 'glucose_100g': 0.07487075, 'iodine_100g': 1.5825125e-05, 'iron_100g': 0.00186239525, 'lactose_100g': 0.06624125, 'magnesium_100g': 0.05883641, 'maltose_100g': 0.738456025, 'manganese_100g': 0.00143917975375, 'pantothenic-acid_100g': 0.0004967055, 'phosphorus_100g': 0.1927523, 'phylloquinone_100g': 2.9475575e-06, 'polyols_100g': 0, 'potassium_100g': 0.250884495625, 'selenium_100g': 7.72668e-06, 'starch_100g': 37.5193525, 'sucrose_100g': 4.10276875, 'vitamin-a_100g': 3.9375e-07, 'vitamin-b12_100g': 1.275e-08, 'vitamin-b1_100g': 0.00061603225, 'vitamin-b2_100g': 4.72748125e-05, 'vitamin-b6_100g': 0.000120786625, 'vitamin-b9_100g': 4.479968875e-05, 'vitamin-c_100g': 0.000165603125, 'vitamin-d_100g': 8.6113625e-08, 'vitamin-e_100g': 0.001549707125, 'vitamin-pp_100g': 0.000830231875, 'water_100g': 29.2265626375, 'zinc_100g': 0.0016366906125}",,,
Crownfield,"Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Pequenos alomoços,Cereais e batatas,Cereais e seus produtos,Cereias para pequeno-almoçco,Flocos,Flocos de cereais,en:Extruded flakes,en:Rolled flakes,Flocos de aveia","Bélgica,França,Alemanha,Portugal,Espanha,Suíça",298.0,7.0,on,100g,a,Fiocchi di avena integrali,13.5,10.0,,0.02,1.25,0.75,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.0843, 'cholesterol_100g': 0, 'copper_100g': 0.0003, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 5e-07, 'iron_100g': 0.00405, 'lactose_100g': 0, 'magnesium_100g': 0.148, 'maltose_100g': 0, 'manganese_100g': 0.00472, 'pantothenic-acid_100g': 0.00131, 'phosphorus_100g': 0.422, 'phylloquinone_100g': 2e-06, 'polyols_100g': 0, 'potassium_100g': 0.377, 'selenium_100g': 3.05e-06, 'starch_100g': 56.9, 'sucrose_100g': 0.97, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.00043, 'vitamin-b2_100g': 0.00014, 'vitamin-b6_100g': 0.00012, 'vitamin-b9_100g': 3.96e-05, 'vitamin-c_100g': 0, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.00059, 'vitamin-pp_100g': 0.00096, 'water_100g': 10.1, 'zinc_100g': 0.00333}",,,
BJORG,"Plant-based foods and beverages,Plant-based foods,Dairy substitutes,Plant-based creams,Plant-based creams for cooking,Coconut-based creams for cooking,Coconut milks and creams",France,174.0,16.0,on,100g,d,Crème de coco légère,1.2,1.1,100ml,0.08,15.0,1.6,,,,
Poulain,cacao,"France, Galmudug, en:morocco",,,,100g,d,Poulain,,,100g,,,,,,on,
Cuétara,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits","France,Maroc",406.0,18.0,on,100g,c,Cuetara Digesta Light 200G Marie Cookies,6.9,3.9,100g,0.85,2.1,0.0,,,,
Hacendado,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate","Portugal, Spain, en:france",416.0,13.0,on,100g,c,"Muesli con quinoa, chía y chocolate negro",9.8,10.0,,0.11,4.3,18.0,,,,
lio,"ar:6.50dh 1/2litr, en:olive-oils","Morocco, United States, en:france",900.0,100.0,on,100g,b,Lio huile de table,0.0,,100g,0.0,14.0,0.0,,,,
,,en:Morocco,,,,,unknown,,,,,,,,,,,
"Ekibio, Le Pain des Fleurs","Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Lanches comida,Cereais e Batatas,en:Extruded crispbreads","Bélgica,França,Portugal",388.0,2.7,on,100g,a,Tartines Craquantes Sarrasin,13.4,4.5,100g,0.01,0.6,1.7,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.0238, 'cholesterol_100g': 0, 'copper_100g': 0.0005, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0.0075, 'iodine_100g': 2.4e-06, 'lactose_100g': 0, 'maltose_100g': 0.1, 'manganese_100g': 0.0013, 'pantothenic-acid_100g': 0.00145, 'phosphorus_100g': 0.264, 'phylloquinone_100g': 7e-06, 'polyols_100g': 0, 'potassium_100g': 0.389, 'selenium_100g': 4.9e-06, 'starch_100g': 68.4, 'sucrose_100g': 0.023, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.00038, 'vitamin-b2_100g': 0.00015, 'vitamin-b6_100g': 0.00046, 'vitamin-b9_100g': 6.68e-05, 'vitamin-c_100g': 0.00025, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.00032, 'vitamin-pp_100g': 0.00475, 'water_100g': 12.1, 'zinc_100g': 0.0023}",,,
St Michel,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits sablés,Palets",France,515.0,26.0,on,100g,e,Roudor,6.2,2.0,100g,1.1,17.0,26.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 5e-05, 'calcium_100g': 0.02244292, 'cholesterol_100g': 0.078733, 'copper_100g': 0.000156689, 'fructose_100g': 0.0695125, 'galactose_100g': 0.015, 'glucose_100g': 0.076045, 'iodine_100g': 1.66174e-05, 'iron_100g': 0.001225076, 'lactose_100g': 0.301, 'magnesium_100g': 0.039147275, 'maltose_100g': 0.5583125, 'manganese_100g': 0.0011468164, 'pantothenic-acid_100g': 0.000335195, 'phosphorus_100g': 0.128478, 'phylloquinone_100g': 2.31805e-06, 'polyols_100g': 0, 'potassium_100g': 0.16010745, 'selenium_100g': 7.310965e-06, 'starch_100g': 30.836, 'sucrose_100g': 11.5861125, 'vitamin-a_100g': 0.000208597, 'vitamin-b12_100g': 9.9575e-08, 'vitamin-b1_100g': 0.0001388425, 'vitamin-b2_100g': 3.0322e-05, 'vitamin-b6_100g': 6.3275e-05, 'vitamin-b9_100g': 1.5403e-05, 'vitamin-c_100g': 0.00013, 'vitamin-d_100g': 4.6658e-07, 'vitamin-e_100g': 0.001091705, 'vitamin-pp_100g': 4.94105e-05, 'water_100g': 13.6434085, 'zinc_100g': 0.001049479}",,,
Toblerone,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Chocolates,Milk chocolates,Chocolates with almonds,Flavoured chocolates,Flavoured milk chocolates,Milk chocolate bar with nougat,Swiss chocolates","Algeria,Australia,Belgium,Bolivia,Bulgaria,Denmark,Finland,France,Germany,Italy,Morocco,Norway,Poland,Portugal,Romania,Spain,Sweden,Switzerland,Thailand,Ukraine,United Kingdom",528.211284513806,28.0,on,100g,e,шок.тоблерон с дробл.орехом,5.6,2.4,,0.12,17.0,60.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 4.2564078125e-05, 'calcium_100g': 0.24586365, 'cholesterol_100g': 0.02675, 'fructose_100g': 1.1970075, 'galactose_100g': 0.093004375, 'glucose_100g': 1.005504375, 'iodine_100g': 1.95543125e-06, 'lactose_100g': 9.3750075, 'maltose_100g': 0.0469475, 'pantothenic-acid_100g': 0.000574568125, 'phylloquinone_100g': 1.21875, 'polyols_100g': 0.0570078125, 'potassium_100g': 0.3170350625, 'sucrose_100g': 50.0085925, 'vitamin-b12_100g': 8.12505625e-07, 'vitamin-b1_100g': 8.5542625e-05, 'vitamin-b2_100g': 0.00037796125, 'vitamin-b6_100g': 7.9680375e-05, 'vitamin-b9_100g': 1.00976875e-05, 'vitamin-d_100g': 3, 'vitamin-pp_100g': 0.00022184175, 'water_100g': 1.290744375}",,,
Danone,"Beverages and beverages preparations, Beverages, Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Fermented milk drinks, Yogurts, Dietary supplements, Bodybuilding supplements, en:artificially-sweetened-beverages","Belgium, France, en:luxembourg",254.666666666667,0.5,on,100g,not-applicable,Yaourt à boire fraise framboise,8.4,0.0,100g,0.18,0.3,5.2,,,,
Milbona,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Fromages à pâte fraîche,Fromages à tartiner",France,66.3333333333333,16.8,on,100g,d,Mon p'tit plaisir,8.2,0.5,,1.0,11.7,3.3,,,,
DANONE,"Produits laitiers,Desserts,Desserts lactés,Skyrs nature",France,57.5,0.2,on,100g,a,SKYR,10.0,0.0,100g,0.09,0.1,3.9,,,,
Harrys,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Breads,Sliced breads,Sliced breads without crust","Belgium,France,Germany,Switzerland",268.0,4.3,on,100g,c,Pain de mie nature,7.0,3.8,100g,1.1,0.4,7.7,"{'alcohol_100g': 0.0011, 'beta-carotene_100g': 3.25725e-06, 'calcium_100g': 0.025813105, 'cholesterol_100g': 1.5675e-05, 'copper_100g': 0.0001940717, 'fructose_100g': 0.06440195, 'galactose_100g': 0, 'glucose_100g': 0.0655135, 'iodine_100g': 1.68127e-05, 'iron_100g': 0.00151557, 'lactose_100g': 0.09149, 'magnesium_100g': 0.04945214, 'maltose_100g': 0.67332195, 'manganese_100g': 0.001411792325, 'pantothenic-acid_100g': 0.000335565, 'phosphorus_100g': 0.1498805, 'phylloquinone_100g': 3.00145e-06, 'polyols_100g': 0, 'potassium_100g': 0.19182711, 'selenium_100g': 7.06943, 'starch_100g': 37.7077, 'sucrose_100g': 4.200545, 'vitamin-a_100g': 6.754e-08, 'vitamin-b12_100g': 4.565e-09, 'vitamin-b1_100g': 0.0002336115, 'vitamin-b2_100g': 1.1774, 'vitamin-b6_100g': 7.93375, 'vitamin-b9_100g': 2.07263e-05, 'vitamin-c_100g': 0.00017015, 'vitamin-d_100g': 8.37425e-08, 'vitamin-e_100g': 0.0015704585, 'vitamin-pp_100g': 0.000158891, 'water_100g': 32.1938835, 'zinc_100g': 0.001292425}",,,
"Madame Loïk, Paysan Breton","Dairies,Fermented foods,Fermented milk products,Cheeses,Spreads,Salted spreads,Cow cheeses,Fresh foods,Pasteurised products,French cheeses,Pasteurized cheeses,Cheese spreads,Cream cheeses,Industrial cheese,fr:Fromage fouetté,fr:Fromages à l'échalote et ciboulette","Belgium, France, en:morocco",242.0,23.0,on,100g,d,Paysan Breton - Le Fromage Fouetté Madame Loïk - Echalote Ciboulette,5.5,,100g,1.2,17.0,2.9,"{'alcohol_100g': 0, 'beta-carotene_100g': 0.0001164045, 'calcium_100g': 0.5875829, 'cholesterol_100g': 0.0838732, 'copper_100g': 0.00012733, 'fiber_100g': 0.17193, 'fructose_100g': 0.099464, 'galactose_100g': 0.072378, 'glucose_100g': 0.086864, 'iodine_100g': 3.31248, 'iron_100g': 0.00029325, 'lactose_100g': 0.30488, 'magnesium_100g': 0.0281818, 'maltose_100g': 0.089748, 'manganese_100g': 5.2462e-05, 'pantothenic-acid_100g': 0.00048774, 'phosphorus_100g': 0.4268521, 'phylloquinone_100g': 8.64902e-06, 'polyols_100g': 0.00825, 'potassium_100g': 0.1287344, 'selenium_100g': 7.58095e-06, 'starch_100g': 0.012945, 'sucrose_100g': 0.1257, 'vitamin-a_100g': 0.000211084, 'vitamin-b12_100g': 1.27024e-06, 'vitamin-b1_100g': 3.5633e-05, 'vitamin-b2_100g': 0.000386345, 'vitamin-b6_100g': 0.00010928, 'vitamin-b9_100g': 3.45803e-05, 'vitamin-c_100g': 0.001389138, 'vitamin-d_100g': 2.7086e-07, 'vitamin-e_100g': 0.00054175, 'vitamin-pp_100g': 0.00095599, 'water_100g': 48.313062, 'zinc_100g': 0.002699858}",,,
Kellogg's,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Céréales extrudées,Flocons extrudés,Pétales multicéréales,Céréales pour petit déjeuner riches en fibres","Belgique,France,Luxembourg",392.0,1.3,on,100g,c,Cereales special K original,8.0,6.0,100g,0.84,0.3,15.0,,,,
,"Plant-based foods and beverages, Beverages, Plant-based beverages, Carbonated drinks, Fruit-based beverages, Sodas, Sweetened beverages, en:artificially-sweetened-beverages","France, en:morocco",270.0,0.0,on,100g,e,Poms 2,0.0,,100g,0.0,0.0,63.0,,,,
Heinz,"Gewürzmittel,Saucen,Tomatensaucen,Ketchup,Tomatenketchup","Frankreich,Deutschland,Marokko,Spanien,Schweiz",102.0,0.1,on,100g,d,Tomato Ketchup,1.2,,,1.8,0.1,22.2,,,,
Nestlé,"Beverages and beverages preparations,Beverages,Cocoa and its products,Beverage preparations,Cocoa and chocolate powders,Instant beverages,Cocoa powders,Cocoa powder for beverages with sugar fortified with vitamins,Instant chocolate powders","France,Morocco,Spain",,,,100g,d,Nesquik,,,100g,,,,,,on,
Giovanni Rana,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Plats préparés,Plats à base de pâtes,Pâtes alimentaires,Pâtes farcies,Pâtes fraîches,Ravioles",France,251.0,11.0,on,100g,c,Ricotta & Épinards,11.0,4.1,100g,0.00275,4.5,6.7,,,,
Céréal Bio,"Meat alternatives,Vegetarian patties",France,222.0,7.4,on,100g,c,Galettes boulghour parmesan & tomates confites,8.5,4.8,100g,0.95,1.7,3.5,,,,
Aicha,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Vegetables based foods, Tomatoes and their products, Double concentrate tomato paste, en:tomato-pastes","France,Maroc",117.0,0.4,on,100g,a,Double concentre de tomate,4.6,3.0,100g,0.8,0.0,9.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 0.00044451, 'calcium_100g': 0.0081916, 'cholesterol_100g': 0, 'copper_100g': 3.021e-05, 'fructose_100g': 1.386, 'galactose_100g': 0, 'glucose_100g': 1.0692, 'iodine_100g': 1.8798e-05, 'iron_100g': 0.0001217, 'lactose_100g': 0, 'magnesium_100g': 0.0100305, 'maltose_100g': 0, 'manganese_100g': 6.654e-05, 'pantothenic-acid_100g': 0.0002079, 'phosphorus_100g': 0.026414, 'phylloquinone_100g': 7.821e-06, 'polyols_100g': 0.01287, 'potassium_100g': 0.253609, 'selenium_100g': 4.955e-06, 'starch_100g': 0, 'sucrose_100g': 0, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 3.861e-05, 'vitamin-b2_100g': 1.881e-05, 'vitamin-b6_100g': 8.118e-05, 'vitamin-b9_100g': 2.2473e-05, 'vitamin-c_100g': 0.015345, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.0006534, 'vitamin-pp_100g': 0.0006435, 'water_100g': 93.15927, 'zinc_100g': 8.701e-05}",,,
TERRA DELYSSA,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Produits de l'olivier,Huiles,Huiles d'olive,Huiles d'olive vierges extra,Huiles d'olive de Tunisie,Huiles d'olive vierges","France, United States, World, en:united-kingdom",821.0,91.0,on,100g,b,EXTRA VIRGIN OLIVE OIL,0.0,0.0,100ml,0.0,19.0,0.0,"{'alcohol_100g': 0.0, 'beta-carotene_100g': 0.00021, 'copper_100g': 5e-06, 'fructose_100g': 0.0, 'galactose_100g': 0.0, 'glucose_100g': 0.0, 'iodine_100g': 1e-05, 'lactose_100g': 0.0, 'magnesium_100g': 2.5e-05, 'maltose_100g': 0.0, 'manganese_100g': 5e-06, 'pantothenic-acid_100g': 0.0, 'phosphorus_100g': 0.00015, 'phylloquinone_100g': 5.81e-05, 'polyols_100g': 0.0, 'selenium_100g': 1e-05, 'starch_100g': 0.0, 'sucrose_100g': 0.0, 'vitamin-a_100g': 0.0, 'vitamin-b12_100g': 0.0, 'vitamin-b1_100g': 0.0, 'vitamin-b2_100g': 0.0, 'vitamin-b6_100g': 0.0, 'vitamin-b9_100g': 0.0, 'vitamin-c_100g': 0.0, 'vitamin-d_100g': 1.3e-07, 'vitamin-e_100g': 0.0223, 'vitamin-pp_100g': 0.0, 'water_100g': 0.1, 'zinc_100g': 2.5e-05}",,,
Kiri,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Produits à tartiner, Produits à tartiner salés, Fromages à tartiner, Fromages pour enfants, Fromages fondus, en:Cheeses (perishable)","Frankreich,Deutschland,Schweiz",303.0,29.0,on,100g,d,Kiri® Crème 24 portions,9.0,,100g,1.3,19.5,2.0,,,,
Herta,"Viandes et dérivés,Viandes,Charcuteries,Charcuteries diverses,Lardons de porc,Lardons de porc natures, Porc et dérivés, en:Pork (prepared)",France,239.0,19.0,on,100g,e,HERTA Lardons nature conservation sans nitrite - 2x75g,17.0,0.0,100g,2.24,7.0,0.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.0099096, 'cholesterol_100g': 0.0753792, 'copper_100g': 6.73952e-05, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 2.6321152e-05, 'iron_100g': 0.000844016, 'lactose_100g': 0, 'magnesium_100g': 0.02757768, 'maltose_100g': 0, 'manganese_100g': 1.39072e-05, 'pantothenic-acid_100g': 0.000647488, 'phosphorus_100g': 0.2165632, 'phylloquinone_100g': 1.25632e-07, 'polyols_100g': 0, 'potassium_100g': 0.36548848, 'selenium_100g': 1.527472e-05, 'starch_100g': 0, 'sucrose_100g': 0, 'vitamin-a_100g': 4.416448e-06, 'vitamin-b12_100g': 5.70176e-07, 'vitamin-b1_100g': 0.000782784, 'vitamin-b2_100g': 0.000154624, 'vitamin-b6_100g': 0.000347904, 'vitamin-b9_100g': 6.90976e-06, 'vitamin-c_100g': 0.000260928, 'vitamin-d_100g': 4.92864e-07, 'vitamin-e_100g': 0.000115968, 'vitamin-pp_100g': 0.006465216, 'water_100g': 57.3078224, 'zinc_100g': 0.0023010176}",,,
"Lustucru,Lustucru selection","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Gnocchi,Gnocchi de pommes de terre",France,193.0,2.7,on,100g,c,Gnocchi aux pommes de terre,5.1,2.0,100g,1.1,0.4,1.9,,,,
,,en:Morocco,,,,,unknown,,,,,,,,,,,
Tipiak,Quinoa,"Frankreich, Martinique, Schweiz, Germany",361.67,4.1,on,100g,a,Quinoa Gourmand,14.0,7.6,,0.0,0.5,2.5,"{'alcohol_100g': 0, 'beta-carotene_100g': 4.17375e-06, 'calcium_100g': 0.03781575, 'cholesterol_100g': 0, 'fructose_100g': 0.030945, 'galactose_100g': 0, 'glucose_100g': 0.103875, 'iodine_100g': 1.875e-07, 'lactose_100g': 0.001875, 'maltose_100g': 0.6366, 'pantothenic-acid_100g': 0.0004017, 'phylloquinone_100g': 7.5e-09, 'polyols_100g': 0, 'potassium_100g': 0.44433, 'sucrose_100g': 0.21105, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.000188475, 'vitamin-b2_100g': 0.00016329375, 'vitamin-b6_100g': 0.0003763125, 'vitamin-b9_100g': 9.4321875e-05, 'vitamin-d_100g': 2.4375e-09, 'vitamin-pp_100g': 0.0007761375, 'water_100g': 11.68125}",,,
Bonne Maman,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Breakfasts, Spreads, Fruits based foods, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams, Berry jams, Mixed fruit jams, Bilberries-jams, Low sugar fruit jam, en:bilberry-jams",France,163.0,0.2,on,100g,d,Myrtille Intense,0.5,1.8,100g,0.0,0.0,39.0,,,,
